level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,120,630,630,18.4,0,0,0,157.5,0,315,157.5,,,,,,,,,
,,150¡ã,,,,,,,,,,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,160,160.5,1.2,0,0,0,59.48,0,80.25,20.7702283694773,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,180,180.6,1.3,0,0,0,66.93,0,90.3,23.3713597727576,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,200,200.6,1.4,0,0,0,74.34,0,100.3,25.9595502237828,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,225,225.7,1.5,0,0,0,83.64,0,112.85,29.2077292398195,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,250,250.8,1.7,0,0,0,92.94,0,125.4,32.4559082558561,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,280,280.9,1.8,0,0,0,104.1,0,140.45,36.351134884649,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,15,316,1.9,0,0,0,117.11,0,158,40.8934091261983,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,355,356.1,2.1,0,0,0,131.97,0,178.05,46.0827309805038,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,400,401.2,2.3,0,0,0,148.68,0,200.6,51.9191004475657,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,450,451.4,2.5,0,0,0,167.28,0,225.7,58.4154584796389,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,500,501.5,2.8,0,0,0,185.85,0,250.75,64.8988755594571,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,560,561.7,3.0,0,0,0,208.16,0,280.85,72.6893288170429,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,630,631.9,3.3,0,0,0,234.18,0,315.95,81.7738773001414,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,710,712.1,3.8,0,0,0,263.9,0,356.05,92.1525210087525,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,800,802.4,4.1,0,0,0,297.36,0,401.2,103.838200895131,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,900,902.7,4.5,0,0,0,334.53,0,451.35,116.817976007023,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,1000,1103.0,5.0,0,0,0,408.76,0,551.5,142.73870337404,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,1100,1103.5,5.0,0,0,0,408.95,0,551.75,142.803408135316,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,150,1200,1203.6,5.0,0,0,0,446.04,0,601.8,155.757301342697,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,150,225,250,2.1,0,0,0,92.65,0,125,32.3523806378151,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,150,300,335,2.6,0,0,0,124.15,0,167.5,43.3521900546722,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,150,400,450,3.0,0,0,0,166.77,0,225,58.2342851480672,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,150,500,549.7,4.5,0,0,0,203.71,0,274.85,71.1364145464278,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,160,160,4.0,0,0,0,59.29,0,80,20.7055236082017,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,200,200,4.9,0,0,0,74.12,0,100,25.8819045102521,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,250,250,6.2,0,0,0,92.65,0,125,32.3523806378151,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,315,315,7.7,0,0,0,116.74,0,157.5,40.763999603647,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,400,400,9.8,0,0,0,148.24,0,200,51.7638090205041,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,500,500,12.3,0,0,0,185.3,0,250,64.7047612756302,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 4kN/m2,150,630,630,15.4,0,0,0,233.47,0,315,81.527999207294,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,160,160,4.7,0,0,0,59.29,0,80,20.7055236082017,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,200,200,5.9,0,0,0,74.12,0,100,25.8819045102521,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,250,250,7.3,0,0,0,92.65,0,125,32.3523806378151,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,315,315,9.2,0,0,0,116.74,0,157.5,40.763999603647,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,400,400,11.7,0,0,0,148.24,0,200,51.7638090205041,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,500,500,14.6,0,0,0,185.3,0,250,64.7047612756302,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Æ½±Ú¹Ü 8kN/m2,150,630,630,18.4,0,0,0,233.47,0,315,81.527999207294,,,,,,,,,
,,180¡ã,,,,,,,,,,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,160,160.5,1.2,0,0,0,80.25,0,80.25,4.91590817532084E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,180,180.6,1.3,0,0,0,90.3,0,90.3,5.53154527391242E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,200,200.6,1.4,0,0,0,100.3,0,100.3,6.14411950136673E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,225,225.7,1.5,0,0,0,112.85,0,112.85,6.91290015682189E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,250,250.8,1.7,0,0,0,125.4,0,125.4,7.68168081227705E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,280,280.9,1.8,0,0,0,140.45,0,140.45,8.60360502459578E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,15,316,1.9,0,0,0,158,0,158,9.6786727937781E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,355,356.1,2.1,0,0,0,178.05,0,178.05,1.0906884119824E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,400,401.2,2.3,0,0,0,200.6,0,200.6,1.22882390027335E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,450,451.4,2.5,0,0,0,225.7,0,225.7,1.38258003136438E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,500,501.5,2.8,0,0,0,250.75,0,250.75,1.53602987534168E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,560,561.7,3.0,0,0,0,280.85,0,280.85,1.72041471780543E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,630,631.9,3.3,0,0,0,315.95,0,315.95,1.93542827164189E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,710,712.1,3.8,0,0,0,356.05,0,356.05,2.18107053685107E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,800,802.4,4.1,0,0,0,401.2,0,401.2,2.45764780054669E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,900,902.7,4.5,0,0,0,451.35,0,451.35,2.76485377561503E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,1000,1103.0,5.0,0,0,0,551.5,0,551.5,3.37834686441052E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,1100,1103.5,5.0,0,0,0,551.75,0,551.75,3.37987829997916E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)Ë«±Ú²¨ÎÆ¹Ü,180,1200,1203.6,5.0,0,0,0,601.8,0,601.8,3.68647170082004E-14,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,180,225,250,2.1,0,0,0,125,0,125,7.65717784317888E-15,,,,,,,,,
Ó²¾ÛÂÈÒÒÏ©(PVC-U)¼Ó½î¹Ü,180,300,335,2.6,0,0,0,167.5,0,167.5,1.02606183098597E-14,,,,,,,,,
