名称,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000
混凝土管-刚性接口,800,900,1000,1100,1200,1300,1600,1700,1800,1900,2000,2300,2400,2500,2600,2700,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800
混凝土管-柔性接口,600,700,800,900,1000,1100,1400,1500,1600,1700,1800,2100,2200,2300,2400,2500,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200
金属类管道,600,700,800,900,1000,1100,1400,1500,1600,1700,1800,2100,2200,2300,2400,2500,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400
化学建材管道,600,700,800,900,1000,1100,1400,1500,1600,1700,1800,2100,2200,2300,2400,2500,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400
