level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
焊接钢管1.0Mpa,180,40,48,3.5,0,0,0,24,0,24,1.47017814589034E-15,,48*3.5,DN40,,,,,,
焊接钢管1.0Mpa,180,50,60,3.5,0,0,0,30,0,30,1.83772268236293E-15,,60*3.5,DN50,,,,,,
焊接钢管1.0Mpa,180,65,75.5,3.75,0,0,0,37.75,0,37.75,2.31246770864002E-15,,75.5*3.75,DN65,,,,,,
焊接钢管1.0Mpa,180,80,88.5,4,0,0,0,44.25,0,44.25,2.71064095648532E-15,,88.5*4,DN80,,,,,,
焊接钢管1.0Mpa,180,100,114,4,0,0,0,57,0,57,3.49167309648957E-15,,114*4,DN100,,,,,,
焊接钢管1.0Mpa,180,125,140,4.5,0,0,0,70,0,70,4.28801959218017E-15,,140*4.5,DN125,,,,,,
焊接钢管1.0Mpa,180,150,165,4.5,0,0,0,82.5,0,82.5,5.05373737649806E-15,,165*4.5,DN150,,,,,,
焊接钢管1.6Mpa,180,15,21.3,3.25,0,0,0,10.65,0,10.65,6.5239155223884E-16,,21.3*3.25,DN15,,,,,,
焊接钢管1.6Mpa,180,20,26.8,3.5,0,0,0,13.4,0,13.4,8.20849464788775E-16,,26.8*3.5,DN20,,,,,,
焊接钢管1.6Mpa,180,25,33.5,4,0,0,0,16.75,0,16.75,1.02606183098597E-15,,33.5*4,DN25,,,,,,
焊接钢管1.6Mpa,180,32,42.3,4,0,0,0,21.15,0,21.15,1.29559449106587E-15,,42.3*4,DN32,,,,,,
焊接钢管1.6Mpa,180,40,48,4.25,0,0,0,24,0,24,1.47017814589034E-15,,48*4.25,DN40,,,,,,
焊接钢管1.6Mpa,180,50,60,4.5,0,0,0,30,0,30,1.83772268236293E-15,,60*4.5,DN50,,,,,,
焊接钢管1.6Mpa,180,65,75.5,4.5,0,0,0,37.75,0,37.75,2.31246770864002E-15,,75.5*4.5,DN65,,,,,,
焊接钢管1.6Mpa,180,80,88.5,4.75,0,0,0,44.25,0,44.25,2.71064095648532E-15,,88.5*4.75,DN80,,,,,,
焊接钢管1.6Mpa,180,100,114,5,0,0,0,57,0,57,3.49167309648957E-15,,114*5,DN100,,,,,,
焊接钢管1.6Mpa,180,125,140,4.5,0,0,0,70,0,70,4.28801959218017E-15,,140*4.5,DN125,,,,,,
