level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,level1
3,120,3000,275,413,4376,413,888,3.755,1807288,3885888,3299326.7847,1364260.6439,3.7581098592,,2、3
06MS201-1,18,180°,D=600~3000钢筋混凝土管（Ⅰ级管）,,,,,,,,,,,,06MS201-1
1,180,600,55,110,930,110,355,0.234,102300,330150,197959.60708,7.7199667015e-12,0.23449039292,,1
1,180,700,60,120,1060,120,410,0.298,127200,434600,264050.86253,1.0297372764e-11,0.29774913747,,1
1,180,800,70,140,1220,140,470,0.397,170800,573400,346988.90859,1.3531764684e-11,0.39721109141,,1
1,180,900,75,150,1350,150,525,0.478,202500,708750,432950.73757,1.6884077144e-11,0.47829926243,,1
1,180,1000,85,170,1510,170,585,0.602,256700,883350,537565.77294,2.0963821499e-11,0.60248422706,,1
1,180,1100,95,190,1670,190,645,0.741,317300,1077150,653490.54185,2.5484619298e-11,0.74095945815,,1
1,180,1200,100,200,1800,200,700,0.85,360000,1260000,769690.20013,3.0016137145e-11,0.85030979987,,1
1,180,1350,115,230,2040,230,790,1.1,469200,1611600,980333.98755,3.8230757535e-11,1.1004660124,,1
1,180,1500,125,250,2250,250,875,1.329,562500,1968750,1202640.9377,4.6900214289e-11,1.3286090623,,1
1,180,1650,140,280,2490,280,965,1.637,697200,2402850,1462764.8094,5.7044443496e-11,1.6372851906,,1
1,180,1800,150,300,2700,300,1050,1.913,810000,2835000,1731802.9503,6.7536308577e-11,1.9131970497,,1
1,180,2000,170,340,3020,340,1170,2.41,1026800,3533400,2150263.0917,8.3855285996e-11,2.4099369083,,1
1,180,2200,185,370,3310,370,1285,2.884,1224700,4253350,2593738.1647,1.0114978787e-10,2.8843118353,,1
1,180,2400,200,400,3600,400,1400,3.401,1440000,5040000,3078760.8005,1.2006454858e-10,3.4012391995,,1
1,180,2600,220,440,3920,440,1520,4.054,1724800,5958400,3629167.8334,1.4152914951e-10,4.0540321666,,1
1,180,2800,235,470,4210,470,1635,4.663,1978700,6883350,4199092.0107,1.6375487392e-10,4.6629579893,,1
1,180,3000,250,500,4500,500,1750,5.314,2250000,7875000,4810563.7508,1.8760085716e-10,5.3144362492,,1
06MS201-1,19,180°,D=600~3000钢筋混凝土管（Ⅱ、Ⅲ级管）,,,,,,,,,,,,06MS201-1
2,180,600,60,120,960,120,360,0.257,115200,345600,203575.20395,7.9389619878e-12,0.25722479605,,2、3
2,180,700,70,140,1120,140,420,0.35,156800,470400,277088.47205,1.0805809372e-11,0.35011152795,,2、3
2,180,800,80,160,1280,160,480,0.457,204800,614400,361911.47369,1.4113710201e-11,0.45728852631,,2、3
2,180,900,90,180,1440,180,540,0.579,259200,777600,458044.20889,1.7862664473e-11,0.57875579111,,2、3
2,180,1000,100,200,1600,200,600,0.715,320000,960000,565486.67765,2.2052672188e-11,0.71451332235,,2、3
2,180,1100,110,220,1760,220,660,0.865,387200,1161600,684238.87995,2.6683733348e-11,0.86456112005,,2、3
2,180,1200,120,240,1920,240,720,1.029,460800,1382400,814300.81581,3.1755847951e-11,1.0288991842,,2、3
2,180,1350,135,270,2160,270,810,1.302,583200,1749600,1030599.47,4.0190995063e-11,1.30220053,,2、3
2,180,1500,150,300,2400,300,900,1.608,720000,2160000,1272345.0247,4.9618512424e-11,1.6076549753,,2、3
2,180,1650,165,330,2640,330,990,1.945,871200,2613600,1539537.4799,6.0038400033e-11,1.9452625201,,2、3
2,180,1800,180,360,2880,360,1080,2.315,1036800,3110400,1832176.8356,7.145065789e-11,2.3150231644,,2、3
