level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,F16
预应力,120,1600,100,800,3400,200,450,0,,,,,,,
预应力,120,1800,115,800,3630,230,508,0,,,,,,,
预应力,120,2000,130,800,3860,260,565,0,,,,,,,
06MS201-1,14,150°,钢筋混凝土管150度砂石基础,,,,,,,,,,,,图集标识等级
预应力,150,400,50,400,1300,100,250,0,,,,,,,
预应力,150,500,50,400,1400,100,300,0,,,,,,,
预应力,150,600,55,500,1710,110,355,0,,,,,,,
预应力,150,700,55,500,1810,110,405,0,,,,,,,
预应力,150,800,60,500,1920,120,460,0,,,,,,,
预应力,150,900,65,500,2030,130,515,0,,,,,,,
预应力,150,1000,70,500,2140,140,570,0,,,,,,,
预应力,150,1200,80,600,2560,160,680,0,,,,,,,
预应力,150,1400,90,600,2780,180,790,0,,,,,,,
预应力,150,1600,100,800,3400,200,900,0,,,,,,,
预应力,150,1800,115,800,3630,230,1015,0,,,,,,,
预应力,150,2000,130,800,3860,260,1130,0,,,,,,,
